Timestamp,Event
2025-04-02 21:32:39,Suspicious process detected: chrome.exe (PID: 21792)
2025-04-02 21:32:39,Suspicious process detected: conhost.exe (PID: 21824)
2025-04-02 21:32:39,Suspicious process detected: svchost.exe (PID: 22108)
2025-04-02 21:32:39,Suspicious process detected: Code.exe (PID: 22164)
2025-04-02 21:32:39,Suspicious process detected: explorer.exe (PID: 22244)
2025-04-02 21:32:39,Suspicious process detected: FileCoAuth.exe (PID: 22416)
2025-04-02 21:32:39,Suspicious process detected: conhost.exe (PID: 22508)
2025-04-02 21:50:09,Suspicious process detected: System Idle Process (PID: 0)
2025-04-02 21:50:10,Suspicious process detected: System (PID: 4)
2025-04-02 21:50:10,Suspicious process detected:  (PID: 108)
2025-04-02 21:50:10,Suspicious process detected: Registry (PID: 148)
2025-04-02 21:50:10,Suspicious process detected: taskhostw.exe (PID: 448)
2025-04-02 21:50:10,Suspicious process detected: svchost.exe (PID: 564)
2025-04-02 21:50:10,Suspicious process detected: smss.exe (PID: 628)
2025-04-02 21:50:10,Suspicious process detected: csrss.exe (PID: 652)
2025-04-02 21:50:10,Suspicious process detected: wininit.exe (PID: 744)
2025-04-02 21:50:10,Suspicious process detected: svchost.exe (PID: 764)
2025-04-02 21:50:10,Suspicious process detected: csrss.exe (PID: 948)
2025-04-02 21:50:10,Suspicious process detected: winlogon.exe (PID: 1064)
2025-04-02 21:50:10,Suspicious process detected: services.exe (PID: 1084)
2025-04-02 21:50:10,Suspicious process detected: Widgets.exe (PID: 1116)
2025-04-02 21:50:10,Suspicious process detected: LsaIso.exe (PID: 1128)
2025-04-02 21:50:10,Suspicious process detected: lsass.exe (PID: 1144)
2025-04-02 21:50:10,Suspicious process detected: svchost.exe (PID: 1248)
2025-04-02 21:50:10,Suspicious process detected: svchost.exe (PID: 1272)
2025-04-02 21:50:10,Suspicious process detected: fontdrvhost.exe (PID: 1300)
2025-04-02 21:50:10,Suspicious process detected: fontdrvhost.exe (PID: 1304)
2025-04-02 21:50:10,Suspicious process detected: WUDFHost.exe (PID: 1332)
2025-04-02 21:50:10,Suspicious process detected: RuntimeBroker.exe (PID: 1400)
2025-04-02 21:50:10,Suspicious process detected: svchost.exe (PID: 1452)
2025-04-02 21:50:10,Suspicious process detected: svchost.exe (PID: 1496)
2025-04-02 21:50:10,Suspicious process detected: ctfmon.exe (PID: 1548)
2025-04-02 21:50:10,Suspicious process detected: WUDFHost.exe (PID: 1556)
